item,game,store_page,kind,label,definition,your_verdict,note
R0020,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Fantasy setting,"Magic, mythical creatures or supernatural worldbuilding define the world.",,
R0021,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Predefined protagonist,A fixed protagonist with an established identity and backstory.,,
R0022,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Mystery,"Investigation, secrets and revelations drive the experience.",,
R0023,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Family friendly,Suitable for children and family play.,,
R0024,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Live events,"Limited-time events, seasons or rotating content with exclusive rewards.",,
R0025,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Cozy and relaxing,"A low-stress, comforting experience built around relaxation rather than tension.",,
R0026,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Building and construction,"The player constructs structures, bases, rooms or environments.",,
R0027,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Cooking,The player prepares food or recipes from ingredients.,,
R0028,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Hand-drawn art,"Illustration-style graphics with visible brush, pen or painted qualities.",,
R0029,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Present-day setting,"A contemporary, present-day world.",,
R0030,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Cel-shaded,Flat shading with bold outlines giving a cartoon or comic-book look.,,
R0031,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Female protagonist,A female lead character is the main or default protagonist.,,
R0032,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Upgrade system,"The player improves weapons, abilities, vehicles, buildings or equipment over time.",,
R0033,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Daily rewards or quests,Incentives for logging in or playing every day.,,
R0034,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,In-game purchases,"Players can spend real money inside the game on currency, items or content.",,
R0035,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,primary genre,Puzzle,Repeated reasoning challenges define play without a more specific supported puzzle form.,,
R0036,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,Pixel art,Visual presentation intentionally constructed from discrete pixel-based sprites or pixel-grid artwork as a defining gameplay rendering style.,,
R0037,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,Crafting,"The player can intentionally create items, equipment, consumables, structures, or upgrades by combining or transforming resources/components through a game system.",,
R0038,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,Free to play,The game can be downloaded and played without an upfront purchase.,,
R0039,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,Inventory system,"The player manages a persistent collection of carried items, equipment, resources, or consumables through an inventory or comparable item-management system.",,
R0040,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,Touch controls,The game is designed to be played with touch input.,,
R0041,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,Strategy gameplay,"Planning, positioning, resource allocation or tactical decisions are a substantial part of play.",,
R0042,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,Minimalist style,"Simplified, clean visuals with few elements and flat shapes.",,
R0043,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,Puzzle-solving gameplay,"Logic, pattern, spatial or physics problems the player must work out are a substantial part of play.",,
R0044,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,Whimsical or lighthearted,"A playful, charming or lighthearted atmosphere dominates.",,
R0045,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,Stylized visual presentation,"Gameplay visuals intentionally depart from photorealism through exaggerated shape language, color, proportion, materials, or illustration-like rendering.",,
R0046,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,Linear levels or stages,"Progression runs mainly through discrete, largely linear levels, stages or missions.",,
R0047,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,Casual-friendly,Easy to pick up and suited to short or relaxed play sessions.,,
R0048,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,Vibrant colours,"A saturated, colourful palette dominates.",,
R0049,Yarn Loop,https://play.google.com/store/apps/details?id=com.combo.yarnflow,attribute,2D graphics,Gameplay is rendered primarily with two-dimensional graphics.,,
R0050,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Ad-supported,"The game shows advertisements, including optional rewarded ads.",,
R0051,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Cartoon style,Western animation-inspired style with exaggerated features.,,
R0052,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Offline play,The game can be played without an internet connection.,,
R0053,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Leaderboards,Scores or results are ranked against other players.,,
R0054,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,primary genre,Physics Puzzle,Reasoning about simulated physical interactions solves discrete challenges.,,
R0055,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,primary genre,Arcade,,,
R0056,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Live events,"Limited-time events, seasons or rotating content with exclusive rewards.",,
R0057,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Daily rewards or quests,Incentives for logging in or playing every day.,,
R0058,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,2D graphics,Gameplay is rendered primarily with two-dimensional graphics.,,
R0059,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Collecting,"Gathering and cataloguing sets of items, creatures, cards or collectibles is a meaningful goal.",,
R0060,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Ranked or competitive play,"Skill-based ranked modes, ladders or competitive matchmaking.",,
R0061,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,primary genre,Puzzle,,,
R0062,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Present-day setting,"A contemporary, present-day world.",,
R0063,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Non-human protagonist,"The main playable character is an animal, robot, creature or other non-human.",,
R0064,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Top-down perspective,Gameplay is primarily viewed from directly or steeply overhead.,,
R0065,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Vibrant colours,"A saturated, colourful palette dominates.",,
R0066,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Upgrade system,"The player improves weapons, abilities, vehicles, buildings or equipment over time.",,
R0067,All in Hole: Black Hole Games,https://play.google.com/store/apps/details?id=com.homagames.studio.allinhole,attribute,Whimsical or lighthearted,"A playful, charming or lighthearted atmosphere dominates.",,
R0068,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Family friendly,Suitable for children and family play.,,
R0069,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Whimsical or lighthearted,"A playful, charming or lighthearted atmosphere dominates.",,
R0070,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Live events,"Limited-time events, seasons or rotating content with exclusive rewards.",,
R0071,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Auto-play or idle progress,The game can progress automatically or while the player is away.,,
R0072,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Science-fiction setting,"Futuristic technology, space travel or speculative science define the world.",,
R0073,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,2D graphics,Gameplay is rendered primarily with two-dimensional graphics.,,
R0074,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Cozy and relaxing,"A low-stress, comforting experience built around relaxation rather than tension.",,
R0075,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Cartoon style,Western animation-inspired style with exaggerated features.,,
R0076,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Vibrant colours,"A saturated, colourful palette dominates.",,
R0077,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,primary genre,Arcade,,,
R0078,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Touch controls,The game is designed to be played with touch input.,,
R0079,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Casual-friendly,Easy to pick up and suited to short or relaxed play sessions.,,
R0080,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Procedural generation,"Meaningful game content such as levels, maps, encounters, worlds, or layouts is algorithmically generated or regenerated rather than entirely authored as a fixed layout.",,
R0081,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Minimal or no story,The game has little or no authored plot; play is not organised around a story.,,
R0082,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Stylized visual presentation,"Gameplay visuals intentionally depart from photorealism through exaggerated shape language, color, proportion, materials, or illustration-like rendering.",,
R0083,Quick Hit Casino Slots Games,https://play.google.com/store/apps/details?id=com.ballytechnologies.quickhitslots,attribute,Present-day setting,"A contemporary, present-day world.",,
R0084,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Daily rewards or quests,Incentives for logging in or playing every day.,,
R0085,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Story-driven,"Plot, characters, authored narrative progression, or story delivery is a central organizing element of the player experience rather than merely incidental framing.",,
R0086,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Leaderboards,Scores or results are ranked against other players.,,
R0087,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Management gameplay,"Running a business, settlement, team, farm or organisation through planning and optimisation is a substantial part of play.",,
R0088,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Free to play,The game can be downloaded and played without an upfront purchase.,,
R0089,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Live events,"Limited-time events, seasons or rotating content with exclusive rewards.",,
R0090,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Energy or stamina timers,A regenerating meta-resource limits how much the player can play before waiting or paying.,,
R0091,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Puzzle-solving gameplay,"Logic, pattern, spatial or physics problems the player must work out are a substantial part of play.",,
R0092,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Multiple playable characters,"Several distinct characters can be played, by switching or across the story.",,
R0093,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,2D graphics,Gameplay is rendered primarily with two-dimensional graphics.,,
R0094,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Vibrant colours,"A saturated, colourful palette dominates.",,
R0095,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Exploration gameplay,Discovering and traversing unknown places is a primary motivation of play.,,
R0096,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Politics and power,"Political struggle, rule or the pursuit of power is a central theme.",,
R0097,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,primary genre,Match-3,Creating runs or groups of matching pieces through constrained board moves is the main loop.,,
R0098,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Fantasy setting,"Magic, mythical creatures or supernatural worldbuilding define the world.",,
R0099,Royal Kingdom,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,attribute,Experience and levels,The player character or units gain experience points and levels that increase capability.,,
R0100,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,Third-person gameplay perspective,"The primary gameplay camera shows the controlled character from an external camera, commonly behind, above, or around the character.",,
R0101,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,Management gameplay,"Running a business, settlement, team, farm or organisation through planning and optimisation is a substantial part of play.",,
R0102,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,Wilderness,"Much of the game takes place in untamed nature such as forests, mountains or islands.",,
R0103,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,primary genre,Colony Sim,"Managing a small population's needs, tasks, and survival in a persistent settlement defines play.",,
R0104,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,Gacha or loot boxes,"Randomised reward draws such as gacha pulls or loot boxes, often purchasable.",,
R0105,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,2D graphics,Gameplay is rendered primarily with two-dimensional graphics.,,
R0106,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,In-game purchases,"Players can spend real money inside the game on currency, items or content.",,
R0107,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,primary genre,Survival,Maintaining existence against environmental or resource pressures is the main progression loop.,,
R0108,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,Building and construction,"The player constructs structures, bases, rooms or environments.",,
R0109,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,Equipment and loadouts,"Gear, weapons or loadouts the player equips change stats or play style.",,
R0110,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,Energy or stamina timers,A regenerating meta-resource limits how much the player can play before waiting or paying.,,
R0111,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,primary genre,Management Simulation,,,
R0112,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,3D graphics,Gameplay is rendered primarily with three-dimensional graphics.,,
R0113,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,Player versus player,Players compete directly against other human players.,,
R0114,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,Unit command,"The player commands multiple units, troops or characters rather than a single avatar.",,
R0115,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,Fantasy setting,"Magic, mythical creatures or supernatural worldbuilding define the world.",,
R0116,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,Player versus environment,"Players face computer-controlled opposition, alone or together.",,
R0117,Dark War Survival,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,attribute,Resource management,Allocating and conserving limited resources is a meaningful decision-making layer.,,
R0118,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,Pay-to-progress or pay-to-win,Real-money purchases give meaningful power or progression advantages.,,
R0119,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,Achievements,Milestone rewards or trophies for completing specific challenges.,,
R0120,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,primary genre,Card Game,Playing hands of cards under repeatable card rules is the principal loop.,,
R0121,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,Management gameplay,"Running a business, settlement, team, farm or organisation through planning and optimisation is a substantial part of play.",,
R0122,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,Family friendly,Suitable for children and family play.,,
R0123,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,Resource gathering,"The player collects raw materials such as wood, ore or plants from the world.",,
R0124,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,Live events,"Limited-time events, seasons or rotating content with exclusive rewards.",,
R0125,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,Collecting,"Gathering and cataloguing sets of items, creatures, cards or collectibles is a meaningful goal.",,
R0126,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,Vibrant colours,"A saturated, colourful palette dominates.",,
R0127,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,Rural or countryside environments,"Much of the game takes place in villages, farmland or countryside.",,
R0128,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,2D graphics,Gameplay is rendered primarily with two-dimensional graphics.,,
R0129,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,Companions or party members,"AI-controlled allies, pets or party members accompany or fight alongside the player.",,
R0130,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,In-game economy and trading,"The player buys, sells or trades using an in-game currency or market.",,
R0131,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,Farming,"The player plants, tends and harvests crops or raises livestock.",,
R0132,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,Stylized visual presentation,"Gameplay visuals intentionally depart from photorealism through exaggerated shape language, color, proportion, materials, or illustration-like rendering.",,
R0133,Solitaire Grand Harvest,https://play.google.com/store/apps/details?id=net.supertreat.solitaire,attribute,Cozy and relaxing,"A low-stress, comforting experience built around relaxation rather than tension.",,
R0134,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Touch controls,The game is designed to be played with touch input.,,
R0135,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Family,Family relationships are a central theme.,,
R0136,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Upgrade system,"The player improves weapons, abilities, vehicles, buildings or equipment over time.",,
R0137,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Mystery,"Investigation, secrets and revelations drive the experience.",,
R0138,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Ad-supported,"The game shows advertisements, including optional rewarded ads.",,
R0139,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Wilderness,"Much of the game takes place in untamed nature such as forests, mountains or islands.",,
R0140,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Resource management,Allocating and conserving limited resources is a meaningful decision-making layer.,,
R0141,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Family friendly,Suitable for children and family play.,,
R0142,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Live events,"Limited-time events, seasons or rotating content with exclusive rewards.",,
R0143,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,primary genre,Merge,Combining matching items into higher-tier items is the principal progression loop.,,
R0144,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Cartoon style,Western animation-inspired style with exaggerated features.,,
R0145,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Simulation gameplay,"Play models the rules of a real-world or fictional activity, system or lifestyle in detail.",,
R0146,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Strategy gameplay,"Planning, positioning, resource allocation or tactical decisions are a substantial part of play.",,
R0147,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Energy or stamina timers,A regenerating meta-resource limits how much the player can play before waiting or paying.,,
R0148,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,Building and construction,"The player constructs structures, bases, rooms or environments.",,
R0149,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,primary genre,Match-3,Creating runs or groups of matching pieces through constrained board moves is the main loop.,,
R0150,Gossip Harbor: Merge & Story,https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor,attribute,In-game purchases,"Players can spend real money inside the game on currency, items or content.",,
R0151,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Touch controls,The game is designed to be played with touch input.,,
R0152,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,2D graphics,Gameplay is rendered primarily with two-dimensional graphics.,,
R0153,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Top-down perspective,Gameplay is primarily viewed from directly or steeply overhead.,,
R0154,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Live events,"Limited-time events, seasons or rotating content with exclusive rewards.",,
R0155,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Family,Family relationships are a central theme.,,
R0156,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Daily rewards or quests,Incentives for logging in or playing every day.,,
R0157,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Energy or stamina timers,A regenerating meta-resource limits how much the player can play before waiting or paying.,,
R0158,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Free to play,The game can be downloaded and played without an upfront purchase.,,
R0159,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Puzzle-solving gameplay,"Logic, pattern, spatial or physics problems the player must work out are a substantial part of play.",,
R0160,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Family friendly,Suitable for children and family play.,,
R0161,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Building and construction,"The player constructs structures, bases, rooms or environments.",,
R0162,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Guilds or clans,Players can form persistent groups with shared goals or rewards.,,
R0163,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Dark atmospheric visuals,"Dim lighting, heavy shadow or a desaturated palette dominate.",,
R0164,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Experience and levels,The player character or units gain experience points and levels that increase capability.,,
R0165,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,primary genre,Match-3,Creating runs or groups of matching pieces through constrained board moves is the main loop.,,
R0166,Homescapes,https://play.google.com/store/apps/details?id=com.playrix.homescapes,attribute,Single-player mode,The game can be played by one person alone.,,
R0167,Total Battle: War Strategy,https://play.google.com/store/apps/details?id=com.totalbattle,attribute,Unit command,"The player commands multiple units, troops or characters rather than a single avatar.",,
R0168,Total Battle: War Strategy,https://play.google.com/store/apps/details?id=com.totalbattle,attribute,Multiplayer,The game includes a mode in which multiple human players participate in the same gameplay session or shared play experience.,,
R0169,Total Battle: War Strategy,https://play.google.com/store/apps/details?id=com.totalbattle,primary genre,4X Strategy,"Building a faction or empire centers on exploration, expansion, exploitation, and extermination.",,
